Id,PostId,VoteTypeId,CreationDate,UserId
480,162,2,2011-01-22T00:00:00.000,
481,165,2,2011-01-22T00:00:00.000,
482,162,2,2011-01-22T00:00:00.000,
483,165,2,2011-01-22T00:00:00.000,
484,164,2,2011-01-22T00:00:00.000,
485,168,2,2011-01-23T00:00:00.000,
486,168,2,2011-01-23T00:00:00.000,
487,164,1,2011-01-23T00:00:00.000,
488,169,2,2011-01-24T00:00:00.000,
489,170,2,2011-01-25T00:00:00.000,
490,175,2,2011-01-25T00:00:00.000,
491,173,2,2011-01-25T00:00:00.000,
492,170,2,2011-01-25T00:00:00.000,
493,173,2,2011-01-25T00:00:00.000,
494,170,2,2011-01-25T00:00:00.000,
495,174,2,2011-01-25T00:00:00.000,
496,175,2,2011-01-25T00:00:00.000,
497,162,2,2011-01-25T00:00:00.000,
499,176,2,2011-01-25T00:00:00.000,
500,175,2,2011-01-25T00:00:00.000,
501,165,2,2011-01-27T00:00:00.000,
502,164,2,2011-01-27T00:00:00.000,
503,179,2,2011-01-27T00:00:00.000,
504,179,2,2011-01-27T00:00:00.000,
505,179,2,2011-01-28T00:00:00.000,
506,180,2,2011-01-28T00:00:00.000,
507,183,2,2011-01-28T00:00:00.000,
508,184,2,2011-01-29T00:00:00.000,
509,179,15,2011-01-29T00:00:00.000,
510,181,2,2011-01-30T00:00:00.000,
511,183,3,2011-01-30T00:00:00.000,
512,168,2,2011-01-30T00:00:00.000,
513,165,2,2011-02-02T00:00:00.000,
515,156,2,2011-02-02T00:00:00.000,
516,65,2,2011-02-02T00:00:00.000,
517,190,2,2011-02-02T00:00:00.000,
518,191,2,2011-02-02T00:00:00.000,
519,191,2,2011-02-02T00:00:00.000,
521,164,2,2011-02-08T00:00:00.000,
522,162,2,2011-02-08T00:00:00.000,
523,192,2,2011-02-08T00:00:00.000,
526,20,2,2011-02-10T00:00:00.000,
527,130,2,2011-02-11T00:00:00.000,
528,117,2,2011-02-11T00:00:00.000,
529,192,2,2011-02-12T00:00:00.000,
530,145,2,2011-02-12T00:00:00.000,
533,194,2,2011-02-13T00:00:00.000,
534,194,2,2011-02-14T00:00:00.000,
537,164,2,2011-02-14T00:00:00.000,
538,162,2,2011-02-14T00:00:00.000,
539,165,2,2011-02-15T00:00:00.000,
540,182,2,2011-02-15T00:00:00.000,
541,193,2,2011-02-15T00:00:00.000,
542,117,2,2011-02-15T00:00:00.000,
543,130,2,2011-02-15T00:00:00.000,
544,165,2,2011-02-16T00:00:00.000,
545,192,2,2011-02-18T00:00:00.000,
547,65,2,2011-02-20T00:00:00.000,
548,174,2,2011-02-20T00:00:00.000,
549,165,2,2011-02-20T00:00:00.000,
550,162,2,2011-02-20T00:00:00.000,
551,143,1,2011-02-21T00:00:00.000,
553,162,5,2011-02-22T00:00:00.000,419
554,14,5,2011-02-22T00:00:00.000,419
555,32,2,2011-02-22T00:00:00.000,
556,196,1,2011-02-22T00:00:00.000,
557,196,2,2011-02-22T00:00:00.000,
558,196,2,2011-02-23T00:00:00.000,
559,82,10,2011-02-23T00:00:00.000,
560,174,2,2011-02-23T00:00:00.000,
561,197,2,2011-02-23T00:00:00.000,
563,130,2,2011-02-23T00:00:00.000,
564,198,2,2011-02-24T00:00:00.000,
565,198,1,2011-02-24T00:00:00.000,
566,199,2,2011-02-25T00:00:00.000,
567,199,2,2011-02-25T00:00:00.000,
568,198,2,2011-02-25T00:00:00.000,
569,200,2,2011-02-25T00:00:00.000,
570,199,2,2011-02-26T00:00:00.000,
571,200,2,2011-02-26T00:00:00.000,
572,202,2,2011-02-26T00:00:00.000,
573,201,2,2011-02-28T00:00:00.000,
574,199,2,2011-02-28T00:00:00.000,
575,198,2,2011-02-28T00:00:00.000,
576,196,2,2011-03-01T00:00:00.000,
577,193,2,2011-03-02T00:00:00.000,
578,162,5,2011-03-03T00:00:00.000,1616
579,164,2,2011-03-03T00:00:00.000,
581,203,2,2011-03-04T00:00:00.000,
582,205,2,2011-03-05T00:00:00.000,
583,205,2,2011-03-06T00:00:00.000,
585,142,2,2011-03-06T00:00:00.000,
586,205,2,2011-03-07T00:00:00.000,
587,206,2,2011-03-09T00:00:00.000,
588,208,2,2011-03-09T00:00:00.000,
589,207,2,2011-03-09T00:00:00.000,
590,208,2,2011-03-09T00:00:00.000,
